Id,MSSubClass,LotShape,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,LotFrontage,LotArea,GarageArea,GrLivArea,TotalBsmtSF,SalePrice
373,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,50,7175,264,752,744,125000
374,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,79,10634,270,1319,608,123000
375,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,65,8200,434,1928,847,219500
376,1-STORY 1945 & OLDER,Slightly irregular,Depression,Severe Slope,Single-family Detached,One story,Very Poor,Very Poor,NA,10020,0,904,683,61000
377,SPLIT FOYER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,Average,Average,57,8846,576,914,870,148000
378,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,102,11143,610,2466,1580,340000
379,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Excellent,Poor,88,11394,834,1856,1856,394432
380,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,60,8123,463,1800,982,179000
381,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,50,5000,308,1691,1026,127000
382,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,60,7200,572,1301,1293,187750
383,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,79,9245,639,1797,939,213500
384,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Above Average,Fair,60,9000,360,784,784,76000
385,2-STORY 1946 & NEWER,Moderately Irregular,Depression,Moderate Slope,Single-family Detached,Two story,Above Average,Average,NA,53107,501,1953,1580,240000
386,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,43,3182,430,1269,1256,192000
387,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Fair,58,8410,0,1184,658,81000
388,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Above Average,72,7200,352,1125,1041,125000
389,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,93,9382,577,1479,1468,191000
390,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Excellent,Average,96,12474,846,2332,1682,426000
391,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,50,8405,384,1367,861,119000
392,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,71,12209,560,1961,804,215000
393,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,NA,8339,294,882,0,106500
394,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,NA,7446,0,788,788,100000
395,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,60,10134,240,1034,735,109000
396,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,68,9571,596,1144,1144,129000
397,1-STORY 1946 & NEWER ALL STYLES,Regular,Depression,Gentle slope,Single-family Detached,One story,Average,Average,60,7200,600,894,894,123000
398,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Average,69,7590,264,1812,864,169500
399,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Poor,60,8967,338,1077,961,67000
400,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,65,8125,438,1550,1092,241000
401,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,38,14963,500,1288,1260,245500
402,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,65,8767,400,1310,1310,164990
403,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,60,10200,240,672,672,108000
404,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,93,12090,420,2263,1141,258000
405,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,10364,373,1572,806,168000
406,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Below Average,NA,9991,490,1620,1281,150000
407,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Average,51,10480,240,1639,1064,115000
408,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,63,15576,308,1680,840,177000
409,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,109,14154,947,2172,1063,280000
410,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,85,10800,836,2078,1034,339750
411,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Fair,68,9571,350,1276,1276,60000
412,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One story,Average,Average,100,34650,572,1056,1056,145000
413,1-STORY 1946 & NEWER ALL STYLES,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,NA,4403,484,1478,1470,222000
414,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,56,8960,360,1028,1008,115000
415,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,59,11228,678,2097,1080,228000
416,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,73,8899,396,1340,1340,181134
417,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,74,7844,440,1400,672,149500
418,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,86,22420,864,2624,1370,239000
419,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,60,8160,240,1134,756,126000
420,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,65,8450,304,1056,1056,142000
421,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Split Foyer,Good,Average,78,7060,784,1344,1344,206300
422,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,NA,16635,529,1602,1602,215000
423,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,One story,Average,Average,100,21750,520,988,988,113000
424,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,80,9200,696,2630,1470,315000
425,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,72,9000,297,1196,1196,139000
426,2-STORY 1946 & NEWER,Regular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Good,Very Good,60,3378,240,1389,651,135000
427,SPLIT OR MULTI-LEVEL,Regular,Depression,Moderate Slope,Single-family Detached,Split Level,Good,Average,NA,12800,569,1644,1518,275000
428,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,77,8593,352,907,907,109008
429,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,64,6762,628,1208,1208,195400
430,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,130,11457,576,1412,1392,175000
431,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,21,1680,264,987,483,85400
432,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,60,5586,0,1198,901,79900
433,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Average,Average,24,1920,440,1365,765,122500
434,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,100,10839,470,1604,926,181000
435,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Split Foyer,Below Average,Good,21,1890,0,630,630,81000
436,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,43,10667,550,1661,799,212000
437,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Very Good,40,4400,440,1118,648,116000
438,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Above Average,Good,50,6000,180,904,884,119000
439,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,40,4280,352,694,440,90350
440,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Very Good,67,12354,528,1196,684,110000
441,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Excellent,Average,105,15431,672,2402,3094,555000
442,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Below Average,Below Average,92,12108,0,1440,1440,118000
443,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,52,6240,360,1573,1078,162900
444,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,53,3922,648,1258,1258,172500
445,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,70,8750,493,1908,915,210000
446,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,73,9855,480,1689,1436,127500
447,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,137,16492,578,1888,1517,190000
448,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,NA,11214,431,1886,930,199900
449,1-1/2 STORY FINISHED ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,50,8600,198,1376,780,119500
450,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Fair,Good,50,6000,308,1183,649,120000
451,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Very Good,70,5684,270,813,813,110000
452,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Moderate Slope,Single-family Detached,One story,Good,Average,62,70761,576,1533,1533,280000
453,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,9303,422,1756,872,204000
454,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,75,9000,676,1590,768,210000
455,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Average,Average,63,9297,560,1728,1728,188000
456,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Above Average,80,9600,528,1242,1242,175500
457,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Average,34,4571,513,1344,624,98000
458,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Moderate Slope,Single-family Detached,One story,Below Average,Above Average,NA,53227,529,1663,1364,256000
459,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Good,NA,5100,228,1666,588,161000
460,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Below Average,NA,7015,352,1203,709,110000
461,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,75,8004,552,1935,832,263435
462,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,60,7200,576,1135,560,155000
463,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,60,8281,360,864,864,62383
464,2-STORY 1945 & OLDER,Slightly irregular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,Two story,Above Average,Good,74,11988,240,1660,715,188700
465,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,One story,Average,Average,60,8430,0,1040,1040,124000
466,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,NA,3072,398,1414,1375,178740
467,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,85,10628,526,1277,1277,167000
468,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Good,79,9480,312,1644,728,146500
469,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,98,11428,866,1634,1626,250000
470,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,76,9291,506,1710,832,187000
471,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,NA,6820,528,1502,1488,212000
472,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,92,11952,534,1969,808,190000
473,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Split Level,Above Average,Average,35,3675,525,1072,547,148000
474,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,110,14977,908,1976,1976,440000
475,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,41,5330,499,1652,1494,251000
476,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,80,8480,624,970,970,132500
477,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Moderate Slope,Single-family Detached,One story,Above Average,Average,75,13125,508,1493,1478,208900
478,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Excellent,Average,105,13693,694,2643,2153,380000
479,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,79,10637,826,1718,1705,297000
480,1-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Below Average,Good,50,5925,672,1131,907,89471
481,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Excellent,Average,98,16033,772,1850,1833,326000
482,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,Excellent,Average,72,11846,874,1792,1792,374000
483,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Very Good,50,2500,164,1826,910,155000
484,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,One story,Above Average,Average,32,4500,402,1216,1216,164000
485,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,NA,7758,264,999,999,132500
486,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,80,9600,264,1113,1113,147000
487,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,79,10289,515,1073,1073,156000
488,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,70,12243,487,1484,1484,175000
489,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level finished,Average,Below Average,60,10800,520,2414,954,160000
490,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Split Foyer,Below Average,Very Good,21,1526,286,630,630,86000
491,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Average,Above Average,NA,2665,336,1304,264,115000
492,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,79,9490,240,1578,806,133000
493,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,105,15578,429,1456,728,172785
494,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,70,7931,308,1269,1269,155000
495,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,50,5784,273,886,190,91300
496,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,60,7879,0,720,720,34900
497,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,NA,12692,546,3228,3200,430000
498,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Above Average,60,9120,240,1820,1026,184000
499,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,65,7800,288,899,864,130000
500,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,70,7535,297,912,912,120000
501,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,21,1890,264,1218,672,113000
502,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,75,9803,603,1768,866,226700
503,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,70,9170,461,1214,1214,140000
504,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Very Good,100,15602,484,1801,1501,289000
505,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Above Average,Average,24,2308,440,1322,855,147000
506,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Two story,Average,Average,60,7596,400,1960,960,124500
507,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,80,9554,471,1911,777,215000
508,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,75,7862,676,1218,1218,208300
509,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,60,9600,360,1378,689,161000
510,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,80,9600,270,1041,1041,124500
511,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,75,14559,288,1363,1008,164900
512,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,40,6792,474,1368,1368,202665
513,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,70,9100,624,864,864,129900
514,1-STORY 1946 & NEWER ALL STYLES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Above Average,Average,71,9187,484,1080,1084,134000
515,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Average,Average,55,10594,200,789,768,96500
516,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Excellent,Average,94,12220,900,2020,2006,402861
517,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Above Average,NA,10448,583,2119,689,158000
518,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,79,10208,889,2344,1264,265000
519,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,9531,546,1796,794,211000
520,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,53,10918,282,2080,1276,234000
521,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two story,Below Average,Good,60,10800,0,1294,0,106250
522,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,90,11988,336,1244,1244,150000
523,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,50,5000,420,1664,1004,159000
524,2-STORY 1946 & NEWER,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,Very Excellent,Average,130,40094,884,4676,3138,184750
525,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,95,11787,834,2398,1379,315750
526,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,62,7500,453,1266,1257,176000
527,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,70,13300,252,928,928,132000
528,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Excellent,Average,67,14948,858,2713,1452,446261
529,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Good,58,9098,0,605,528,86000
530,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Fair,NA,32668,484,2515,2035,200624
531,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Average,85,10200,600,1509,1461,175000
532,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Very Good,60,6155,502,1362,611,128000
533,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,60,7200,392,827,0,107500
534,1-STORY 1946 & NEWER ALL STYLES,Regular,Depression,Moderate Slope,Single-family Detached,One story,Very Poor,Fair,50,5000,0,334,0,39300
535,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,74,9056,403,1414,707,178000
536,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two story,Average,Good,70,7000,0,1347,1117,107500
537,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,57,8924,527,1724,880,188000
538,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,NA,12735,576,864,864,111250
539,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,11553,336,1159,1051,158000
540,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,NA,11423,670,1601,1581,272000
541,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Excellent,Average,85,14601,765,1838,1838,315000
542,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,NA,11000,648,2285,969,248000
543,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,78,10140,583,1680,1650,213250
544,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Split Foyer,Good,Average,34,4058,367,767,723,133000
545,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,58,17104,426,1496,654,179665
